№,romn XML,root text TXT,Текст / раздел,Статус,Итоговый источник,Итоговый файл,Примечание
1,romn/vin01m.mul.xml,root text files/vin01m.mul.txt,Pārājikapāḷi,MŪLA,01,01_VINAYA_MULA_CST.txt,
2,romn/vin02m1.mul.xml,root text files/vin02m1.mul.txt,Pācittiyapāḷi,MŪLA,01,01_VINAYA_MULA_CST.txt,
3,romn/vin02m2.mul.xml,root text files/vin02m2.mul.txt,Mahāvaggapāḷi,MŪLA,01,01_VINAYA_MULA_CST.txt,
4,romn/vin02m3.mul.xml,root text files/vin02m3.mul.txt,Cūḷavaggapāḷi,MŪLA,01,01_VINAYA_MULA_CST.txt,
5,romn/vin02m4.mul.xml,root text files/vin02m4.mul.txt,Parivārapāḷi,MŪLA,01,01_VINAYA_MULA_CST.txt,
6,romn/s0101m.mul.xml,root text files/s0101m.mul.txt,Dīgha Nikāya — Sīlakkhandhavaggapāḷi,MŪLA,02,02_DN_MULA_CST.txt,
7,romn/s0102m.mul.xml,root text files/s0102m.mul.txt,Dīgha Nikāya — Mahāvaggapāḷi,MŪLA,02,02_DN_MULA_CST.txt,
8,romn/s0103m.mul.xml,root text files/s0103m.mul.txt,Dīgha Nikāya — Pāthikavaggapāḷi,MŪLA,02,02_DN_MULA_CST.txt,
9,romn/s0201m.mul.xml,root text files/s0201m.mul.txt,Majjhima Nikāya — Mūlapaṇṇāsapāḷi,MŪLA,03,03_MN_MULA_CST.txt,
10,romn/s0202m.mul.xml,root text files/s0202m.mul.txt,Majjhima Nikāya — Majjhimapaṇṇāsapāḷi,MŪLA,03,03_MN_MULA_CST.txt,
11,romn/s0203m.mul.xml,root text files/s0203m.mul.txt,Majjhima Nikāya — Uparipaṇṇāsapāḷi,MŪLA,03,03_MN_MULA_CST.txt,
12,romn/s0301m.mul.xml,root text files/s0301m.mul.txt,Saṃyutta Nikāya — Sagāthāvaggapāḷi,MŪLA,04,04_SN_MULA_CST.txt,
13,romn/s0302m.mul.xml,root text files/s0302m.mul.txt,Saṃyutta Nikāya — Nidānavaggapāḷi,MŪLA,04,04_SN_MULA_CST.txt,
14,romn/s0303m.mul.xml,root text files/s0303m.mul.txt,Saṃyutta Nikāya — Khandhavaggapāḷi,MŪLA,04,04_SN_MULA_CST.txt,
15,romn/s0304m.mul.xml,root text files/s0304m.mul.txt,Saṃyutta Nikāya — Saḷāyatanavaggapāḷi,MŪLA,04,04_SN_MULA_CST.txt,
16,romn/s0305m.mul.xml,root text files/s0305m.mul.txt,Saṃyutta Nikāya — Mahāvaggapāḷi,MŪLA,04,04_SN_MULA_CST.txt,
17,romn/s0401m.mul.xml,root text files/s0401m.mul.txt,Aṅguttara Nikāya — Ekakanipātapāḷi,MŪLA,05,05_AN_MULA_CST.txt,
18,romn/s0402m1.mul.xml,root text files/s0402m1.mul.txt,Aṅguttara Nikāya — Dukanipātapāḷi,MŪLA,05,05_AN_MULA_CST.txt,
19,romn/s0402m2.mul.xml,root text files/s0402m2.mul.txt,Aṅguttara Nikāya — Tikanipātapāḷi,MŪLA,05,05_AN_MULA_CST.txt,
20,romn/s0402m3.mul.xml,root text files/s0402m3.mul.txt,Aṅguttara Nikāya — Catukkanipātapāḷi,MŪLA,05,05_AN_MULA_CST.txt,
21,romn/s0403m1.mul.xml,root text files/s0403m1.mul.txt,Aṅguttara Nikāya — Pañcakanipātapāḷi,MŪLA,05,05_AN_MULA_CST.txt,
22,romn/s0403m2.mul.xml,root text files/s0403m2.mul.txt,Aṅguttara Nikāya — Chakkanipātapāḷi,MŪLA,05,05_AN_MULA_CST.txt,
23,romn/s0403m3.mul.xml,root text files/s0403m3.mul.txt,Aṅguttara Nikāya — Sattakanipātapāḷi,MŪLA,05,05_AN_MULA_CST.txt,
24,romn/s0404m1.mul.xml,root text files/s0404m1.mul.txt,Aṅguttara Nikāya — Aṭṭhakanipātapāḷi,MŪLA,05,05_AN_MULA_CST.txt,
25,romn/s0404m2.mul.xml,root text files/s0404m2.mul.txt,Aṅguttara Nikāya — Navakanipātapāḷi,MŪLA,05,05_AN_MULA_CST.txt,
26,romn/s0404m3.mul.xml,root text files/s0404m3.mul.txt,Aṅguttara Nikāya — Dasakanipātapāḷi,MŪLA,05,05_AN_MULA_CST.txt,
27,romn/s0404m4.mul.xml,root text files/s0404m4.mul.txt,Aṅguttara Nikāya — Ekādasakanipātapāḷi,MŪLA,05,05_AN_MULA_CST.txt,
28,romn/s0501m.mul.xml,root text files/s0501m.mul.txt,Khuddakapāṭhapāḷi,MŪLA,06,06_KN_EARLY_MULA.txt,
29,romn/s0502m.mul.xml,root text files/s0502m.mul.txt,Dhammapadapāḷi,MŪLA,06,06_KN_EARLY_MULA.txt,
30,romn/s0503m.mul.xml,root text files/s0503m.mul.txt,Udānapāḷi,MŪLA,06,06_KN_EARLY_MULA.txt,
31,romn/s0504m.mul.xml,root text files/s0504m.mul.txt,Itivuttakapāḷi,MŪLA,06,06_KN_EARLY_MULA.txt,
32,romn/s0505m.mul.xml,root text files/s0505m.mul.txt,Suttanipātapāḷi,MŪLA,06,06_KN_EARLY_MULA.txt,
33,romn/s0506m.mul.xml,root text files/s0506m.mul.txt,Vimānavatthupāḷi,MŪLA,07,07_KN_POETRY_MULA.txt,
34,romn/s0507m.mul.xml,root text files/s0507m.mul.txt,Petavatthupāḷi,MŪLA,07,07_KN_POETRY_MULA.txt,
35,romn/s0508m.mul.xml,root text files/s0508m.mul.txt,Theragāthāpāḷi,MŪLA,07,07_KN_POETRY_MULA.txt,
36,romn/s0509m.mul.xml,root text files/s0509m.mul.txt,Therīgāthāpāḷi,MŪLA,07,07_KN_POETRY_MULA.txt,
37,romn/s0510m1.mul.xml,root text files/s0510m1.mul.txt,Apadānapāḷi — part 1,MŪLA,08,08_KN_LATER_MULA.txt,
38,romn/s0510m2.mul.xml,root text files/s0510m2.mul.txt,Apadānapāḷi — part 2,MŪLA,08,08_KN_LATER_MULA.txt,
39,romn/s0511m.mul.xml,root text files/s0511m.mul.txt,Buddhavaṃsapāḷi,MŪLA,08,08_KN_LATER_MULA.txt,
40,romn/s0512m.mul.xml,root text files/s0512m.mul.txt,Cariyāpiṭakapāḷi,MŪLA,08,08_KN_LATER_MULA.txt,
41,romn/s0513m.mul.xml,root text files/s0513m.mul.txt,Jātakapāḷi — part 1,MŪLA,08,08_KN_LATER_MULA.txt,
42,romn/s0514m.mul.xml,root text files/s0514m.mul.txt,Jātakapāḷi — part 2,MŪLA,08,08_KN_LATER_MULA.txt,
