source_id,home_project,slot,title,author,year,layer,function,status,filename_or_location,sha256,rights_or_license,notes
T1-C01,THERAVADA_I,1,01_VINAYA_MULA_CST.txt,,,MŪLA / VINAYA,Primary canonical Pāli,ACTIVE,PROJECT_THERAVADA/01_PALI_CANON/01_VINAYA_MULA_CST.txt,,VRI/CST attribution and use restrictions apply,Consolidated from 5 Roman-Pāli XML inputs.
T1-C02,THERAVADA_I,2,02_DN_MULA_CST.txt,,,MŪLA / DĪGHA NIKĀYA,Primary canonical Pāli,ACTIVE,PROJECT_THERAVADA/01_PALI_CANON/02_DN_MULA_CST.txt,,VRI/CST attribution and use restrictions apply,Consolidated from 3 Roman-Pāli XML inputs.
T1-C03,THERAVADA_I,3,03_MN_MULA_CST.txt,,,MŪLA / MAJJHIMA NIKĀYA,Primary canonical Pāli,ACTIVE,PROJECT_THERAVADA/01_PALI_CANON/03_MN_MULA_CST.txt,,VRI/CST attribution and use restrictions apply,Consolidated from 3 Roman-Pāli XML inputs.
T1-C04,THERAVADA_I,4,04_SN_MULA_CST.txt,,,MŪLA / SAṂYUTTA NIKĀYA,Primary canonical Pāli,ACTIVE,PROJECT_THERAVADA/01_PALI_CANON/04_SN_MULA_CST.txt,,VRI/CST attribution and use restrictions apply,Consolidated from 5 Roman-Pāli XML inputs.
T1-C05,THERAVADA_I,5,05_AN_MULA_CST.txt,,,MŪLA / AṄGUTTARA NIKĀYA,Primary canonical Pāli,ACTIVE,PROJECT_THERAVADA/01_PALI_CANON/05_AN_MULA_CST.txt,,VRI/CST attribution and use restrictions apply,Consolidated from 11 Roman-Pāli XML inputs.
T1-C06,THERAVADA_I,6,06_KN_EARLY_MULA.txt,,,MŪLA / KHUDDAKA EARLY,Primary canonical Pāli,ACTIVE,PROJECT_THERAVADA/01_PALI_CANON/06_KN_EARLY_MULA.txt,,VRI/CST attribution and use restrictions apply,"Khuddakapāṭha, Dhammapada, Udāna, Itivuttaka, Suttanipāta."
T1-C07,THERAVADA_I,7,07_KN_POETRY_MULA.txt,,,MŪLA / KHUDDAKA POETRY,Primary canonical Pāli,ACTIVE,PROJECT_THERAVADA/01_PALI_CANON/07_KN_POETRY_MULA.txt,,VRI/CST attribution and use restrictions apply,"Vimānavatthu, Petavatthu, Theragāthā, Therīgāthā."
T1-C08,THERAVADA_I,8,08_KN_LATER_MULA.txt,,,MŪLA / KHUDDAKA LATER,Primary canonical Pāli,ACTIVE,PROJECT_THERAVADA/01_PALI_CANON/08_KN_LATER_MULA.txt,,VRI/CST attribution and use restrictions apply,"Apadāna, Buddhavaṃsa, Cariyāpiṭaka, Jātaka."
T1-C09,THERAVADA_I,9,09_KN_EXEGETICAL_MULA.txt,,,MŪLA / KHUDDAKA EXEGETICAL,Primary canonical Pāli,ACTIVE,PROJECT_THERAVADA/01_PALI_CANON/09_KN_EXEGETICAL_MULA.txt,,VRI/CST attribution and use restrictions apply,"Mahāniddesa, Cūḷaniddesa, Paṭisambhidāmagga."
T1-C10,THERAVADA_I,10,10_KN_NETTI_MILINDA_PETAKA.txt,,,MŪLA + SUPPLEMENTARY / VARIABLE STATUS,Primary and supplementary Pāli control,ACTIVE,PROJECT_THERAVADA/01_PALI_CANON/10_KN_NETTI_MILINDA_PETAKA.txt,,VRI/CST attribution and use restrictions apply,Milindapañha and Peṭakopadesa marked NRF; canonical status varies; Netti separately marked.
T1-C11,THERAVADA_I,11,11_ABHIDHAMMA_CORE_MULA.txt,,,MŪLA / ABHIDHAMMA CORE,Primary canonical Pāli,ACTIVE,PROJECT_THERAVADA/01_PALI_CANON/11_ABHIDHAMMA_CORE_MULA.txt,,VRI/CST attribution and use restrictions apply,"Dhammasaṅgaṇī, Vibhaṅga, Dhātukathā, Puggalapaññatti, Kathāvatthu."
T1-C12,THERAVADA_I,12,12_YAMAKA_MULA.txt,,,MŪLA / ABHIDHAMMA YAMAKA,Primary canonical Pāli,ACTIVE,PROJECT_THERAVADA/01_PALI_CANON/12_YAMAKA_MULA.txt,,VRI/CST attribution and use restrictions apply,Three-part Yamaka consolidation.
